id"name"amount"date_start"date_end"created"updated"camp_id
1"Pago antes del 28 de Febrero"1650"2018-01-01"2018-02-28"2018-01-08"2018-01-08"20345
2"Pago antes del 30 de Abril"800"2018-03-01"2018-04-30"2018-01-08"2018-01-08"20345
5"Pago antes del 28 de Febrero"3000"2018-01-01"2018-02-28"2018-01-08"2018-01-08"20343
6"Pago antes del 30 de Abril"1600"2018-03-01"2018-04-30"2018-01-08"2018-01-08"20343
3"Paga antes del 28 de Febrero 2018"3000"2018-01-01"2018-02-28"2018-01-08"2018-01-08"20344
4"Paga antes del 30 de Abril 2018"1600"2018-03-01"2018-04-30"2018-01-08"2018-01-08"20344
8"Pago antes del 31 de Diciembre"4600"2017-09-01"2017-12-31"2018-01-08"2018-01-08"20343
9"Pago antes del 31 de Diciembre"2500"2017-09-01"2017-12-31"2018-01-08"2018-01-08"20345
7"Paga antes del 31 de Diciembre 2017"4600"2017-09-01"2017-12-31"2018-01-08"2018-01-08"20344
10"Pago anticipado DICIEMBRE"5600"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20474
11"Pago anticipado FEBRERO"2550"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20474
12"Pago anticipado ABRIL"2050"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20474
13"Pago anticipado CIERRE 2018"7350"2018-07-28"2018-08-04"2018-10-04"2018-10-04"20474
14"Pago anticipado DICIEMBRE"5600"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20473
15"Pago anticipado FEBRERO"2550"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20473
16"Pago anticipado ABRIL"2050"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20473
17"Pago anticipado CIERRE 2018"7350"2018-07-28"2018-08-04"2018-10-04"2018-10-04"20473
18"Pago anticipado DICIEMBRE"3200"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20475
19"Pago anticipado FEBRERO"2050"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20475
20"Pago anticipado ABRIL"1190"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20475
21"Pago anticipado CIERRE 2018"4250"2018-07-28"2018-08-04"2018-10-04"2018-10-04"20475
22"Pago anticipado DICIEMBRE"3200"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20476
23"Pago anticipado FEBRERO"2050"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20476
24"Pago anticipado ABRIL"1190"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20476
25"Pago anticipado CIERRE 2018"4250"2018-07-28"2018-08-04"2018-10-04"2018-10-04"20476
26"Pago anticipado DICIEMBRE"1100"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20477
27"Pago anticipado FEBRERO"700"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20477
28"Pago anticipado ABRIL"400"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20477
29"Pago anticipado DICIEMBRE"1100"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20478
30"Pago anticipado FEBRERO"700"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20478
31"Pago anticipado ABRIL"400"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20478
32"Pago anticipado DICIEMBRE"1100"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20480
33"Pago anticipado FEBRERO"700"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20480
34"Pago anticipado ABRIL"400"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20480
35"Pago anticipado DICIEMBRE"1100"2018-10-04"2018-12-30"2018-10-04"2018-10-04"20481
36"Pago anticipado FEBRERO"700"2019-01-01"2019-02-28"2018-10-04"2018-10-04"20481
37"Pago anticipado ABRIL"400"2019-03-01"2019-04-30"2018-10-04"2018-10-04"20481
40"CIERRE 2019"8000"2019-07-20"2019-08-30"2019-09-19"2019-09-19"20609
41"BUEN FIN"7000"2019-11-13"2019-11-19"2019-09-19"2019-09-19"20609
42"ANT - DICIEMBRE"6000"2019-11-20"2019-12-31"2019-09-19"2019-09-19"20609
43"ANT - FEBRERO"3800"2020-01-01"2020-02-28"2019-09-19"2019-09-19"20609
44"ANT - ABRIL"2200"2020-02-28"2020-04-30"2019-09-19"2019-09-19"20609
45"HOT SALE"2500"2020-05-28"2020-05-31"2019-09-19"2019-09-19"20609
46"CIERRE 2019"8000"2019-07-20"2019-08-30"2019-09-19"2019-09-19"20610
47"BUEN FIN"7000"2019-11-13"2019-11-19"2019-09-19"2019-09-19"20610
48"ANT - DICIEMBRE"6000"2019-11-20"2019-12-31"2019-09-19"2019-09-19"20610
49"ANT - FEBRERO"3800"2020-01-01"2020-02-28"2019-09-19"2019-09-19"20610
50"ANT - ABRIL"2200"2020-02-28"2020-04-30"2019-09-19"2019-09-19"20610
51"HOT SALE"2500"2020-05-28"2020-05-31"2019-09-19"2019-09-19"20610
52"CIERRE 2019"4600"2019-07-20"2019-08-30"2019-09-19"2019-09-19"20611
54"ANT - DICIEMBRE"3400"2019-11-20"2019-12-31"2019-09-19"2019-09-19"20611
55"ANT - FEBRERO"2200"2020-01-01"2020-02-28"2019-09-19"2019-09-19"20611
56"ANT - ABRIL"1250"2020-02-28"2020-04-30"2019-09-19"2019-09-19"20611
57"HOT SALE"2000"2020-05-28"2020-05-31"2019-09-19"2019-09-19"20611
58"CIERRE 2019"4700"2019-07-20"2019-08-30"2019-09-19"2019-09-19"20612
59"BUEN FIN"4200"2019-11-13"2019-11-19"2019-09-19"2019-09-19"20612
60"ANT - DICIEMBRE"3550"2019-11-20"2019-12-31"2019-09-19"2019-09-19"20612
61"ANT - FEBRERO"2250"2020-01-01"2020-02-28"2019-09-19"2019-09-19"20612
62"ANT - ABRIL"1300"2020-02-28"2020-04-30"2019-09-19"2019-09-19"20612
63"HOT SALE"2000"2020-05-28"2020-05-31"2019-09-19"2019-09-19"20612
64"CIERRE 2019"3200"2019-07-20"2019-08-30"2019-09-19"2019-09-19"20613
65"BUEN FIN"2850"2019-11-13"2019-11-19"2019-09-19"2019-09-19"20613
66"ANT - DICIEMBRE"2450"2019-11-20"2019-12-31"2019-09-19"2019-09-19"20613
67"ANT - FEBRERO"1500"2020-01-01"2020-02-28"2019-09-19"2019-09-19"20613
68"ANT - ABRIL"900"2020-02-28"2020-04-30"2019-09-19"2019-09-19"20613
69"HOT SALE"1350"2020-05-28"2020-05-31"2019-09-19"2019-09-19"20613
53"BUEN FIN"4100"2019-11-13"2019-11-29"2019-09-19"2019-12-09"20611
82"ANT - 31 OCTUBRE"1500"2020-09-23"2020-10-31"2020-09-23"2020-09-23"20728
83"ANT - 31 OCTUBRE"1500"2020-09-23"2020-10-31"2020-09-23"2020-09-23"20732
84"ANT - ABRIL"2000"2021-02-08"2021-04-30"2021-03-08"2021-03-08"20755
85"ANT - ABRIL"2000"2021-02-08"2021-04-30"2021-03-08"2021-03-08"20756
86"Promo Buen Fin"2000"2021-11-10"2021-11-16"2021-09-24"2021-09-24"20786
87"Promo Buen Fin"2000"2021-11-10"2021-11-16"2021-09-24"2021-09-24"20787
88"Pagando antes del 30 de abril 2022"3750"2022-01-01"2022-04-30"2022-03-04"2022-03-04"20778
89"Pagando antes del 30 de abril 2022"3750"2022-01-01"2022-04-30"2022-03-04"2022-03-04"20779
90"Pagando antes del 30 de abril 2022"2150"2022-01-01"2022-04-30"2022-03-04"2022-03-04"20780
