id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
1"84"25450"t"2016-05-11 10:36:51.126952-05"2016-05-11 10:36:51.139387-05"2016-05-11 10:36:51.139414-05
31"192"26777"t"2017-01-24 08:11:42.618163-06"2017-01-24 08:11:42.632375-06"2017-01-24 08:11:42.632404-06
32"192"26840"t"2017-01-24 08:11:51.199181-06"2017-01-24 08:11:51.212989-06"2017-01-24 08:11:51.213019-06
33"192"26835"t"2017-01-24 08:12:04.113155-06"2017-01-24 08:12:04.126238-06"2017-01-24 08:12:04.126266-06
34"192"26790"t"2017-01-24 08:12:12.851928-06"2017-01-24 08:12:12.864446-06"2017-01-24 08:12:12.864475-06
35"192"21818"t"2017-01-24 08:12:19.364766-06"2017-01-24 08:12:19.377546-06"2017-01-24 08:12:19.377576-06
37"192"26792"t"2017-01-24 08:12:40.254278-06"2017-01-24 08:12:40.268512-06"2017-01-24 08:12:40.268541-06
38"192"26806"t"2017-01-24 08:13:04.482027-06"2017-01-24 08:13:04.49576-06"2017-01-24 08:13:04.49579-06
39"192"26788"t"2017-01-24 08:13:14.8411-06"2017-01-24 08:13:14.854594-06"2017-01-24 08:13:14.854625-06
40"192"26778"t"2017-01-24 08:13:28.556107-06"2017-01-24 08:13:28.56787-06"2017-01-24 08:13:28.567896-06
41"192"26807"t"2017-01-24 08:13:43.928894-06"2017-01-24 08:13:43.94191-06"2017-01-24 08:13:43.941941-06
42"192"26848"t"2017-01-24 08:13:51.392186-06"2017-01-24 08:13:51.404972-06"2017-01-24 08:13:51.405001-06
43"192"24419"t"2017-01-24 08:13:59.332713-06"2017-01-24 08:13:59.346854-06"2017-01-24 08:13:59.346881-06
44"192"26804"t"2017-01-24 08:14:03.602278-06"2017-01-24 08:14:03.61428-06"2017-01-24 08:14:03.614309-06
45"192"26818"t"2017-01-24 08:14:08.431304-06"2017-01-24 08:14:08.441724-06"2017-01-24 08:14:08.441749-06
46"192"26784"t"2017-01-24 08:14:16.914029-06"2017-01-24 08:14:16.925521-06"2017-01-24 08:14:16.925548-06
47"192"26776"t"2017-01-24 08:14:27.928731-06"2017-01-24 08:14:27.940734-06"2017-01-24 08:14:27.94076-06
48"192"26771"t"2017-01-24 08:14:38.457799-06"2017-01-24 08:14:38.468609-06"2017-01-24 08:14:38.468636-06
49"192"26801"t"2017-01-24 08:14:43.809129-06"2017-01-24 08:14:43.821608-06"2017-01-24 08:14:43.821636-06
50"192"26803"t"2017-01-24 08:14:58.316653-06"2017-01-24 08:14:58.328932-06"2017-01-24 08:14:58.32896-06
51"192"26786"t"2017-01-24 08:15:15.257915-06"2017-01-24 08:15:15.269665-06"2017-01-24 08:15:15.269694-06
52"192"26834"t"2017-01-24 08:15:22.072395-06"2017-01-24 08:15:22.085148-06"2017-01-24 08:15:22.085179-06
53"192"26846"t"2017-01-24 08:15:32.080587-06"2017-01-24 08:15:32.093443-06"2017-01-24 08:15:32.093471-06
54"192"26809"t"2017-01-24 08:15:38.696734-06"2017-01-24 08:15:38.709067-06"2017-01-24 08:15:38.709094-06
55"192"26847"t"2017-01-24 08:15:46.069622-06"2017-01-24 08:15:46.080812-06"2017-01-24 08:15:46.080853-06
56"192"26819"t"2017-01-24 08:15:58.165998-06"2017-01-24 08:15:58.177033-06"2017-01-24 08:15:58.177062-06
57"192"26830"t"2017-01-24 08:16:05.722906-06"2017-01-24 08:16:05.734019-06"2017-01-24 08:16:05.734046-06
58"192"26799"t"2017-01-24 08:16:12.739445-06"2017-01-24 08:16:12.753231-06"2017-01-24 08:16:12.753292-06
59"192"26802"t"2017-01-24 08:16:16.601322-06"2017-01-24 08:16:16.61224-06"2017-01-24 08:16:16.612266-06
60"192"26843"t"2017-01-24 08:16:21.771396-06"2017-01-24 08:16:21.782489-06"2017-01-24 08:16:21.782514-06
61"192"26836"t"2017-01-24 08:16:43.589783-06"2017-01-24 08:16:43.602527-06"2017-01-24 08:16:43.602555-06
62"192"26805"t"2017-01-24 08:16:47.3356-06"2017-01-24 08:16:47.353326-06"2017-01-24 08:16:47.353357-06
63"192"26795"t"2017-01-24 08:17:02.496107-06"2017-01-24 08:17:02.507829-06"2017-01-24 08:17:02.507857-06
64"192"26816"t"2017-01-24 08:17:09.293418-06"2017-01-24 08:17:09.305447-06"2017-01-24 08:17:09.305475-06
65"192"26791"t"2017-01-24 08:17:25.323147-06"2017-01-24 08:17:25.335569-06"2017-01-24 08:17:25.335599-06
66"192"26810"t"2017-01-24 08:17:36.775164-06"2017-01-24 08:17:36.787213-06"2017-01-24 08:17:36.787283-06
67"192"26772"t"2017-01-24 08:17:53.92799-06"2017-01-24 08:17:53.941788-06"2017-01-24 08:17:53.941818-06
68"192"26811"t"2017-01-24 08:18:09.966075-06"2017-01-24 08:18:09.978482-06"2017-01-24 08:18:09.97851-06
69"192"26789"t"2017-01-24 08:18:22.303333-06"2017-01-24 08:18:22.316479-06"2017-01-24 08:18:22.316507-06
70"192"26800"t"2017-01-24 08:18:29.639038-06"2017-01-24 08:18:29.651049-06"2017-01-24 08:18:29.651077-06
71"192"26775"t"2017-01-24 08:18:35.469746-06"2017-01-24 08:18:35.482471-06"2017-01-24 08:18:35.482499-06
72"192"24698"t"2017-01-24 08:18:51.074739-06"2017-01-24 08:18:51.087156-06"2017-01-24 08:18:51.087185-06
73"192"26774"t"2017-01-24 08:18:59.126531-06"2017-01-24 08:18:59.142348-06"2017-01-24 08:18:59.142397-06
74"192"26609"t"2017-01-24 08:19:04.561471-06"2017-01-24 08:19:04.572525-06"2017-01-24 08:19:04.572552-06
75"192"26793"t"2017-01-24 08:19:07.491418-06"2017-01-24 08:19:07.502969-06"2017-01-24 08:19:07.502995-06
36"192"26785"t"2017-01-24 11:56:29.51063-06"2017-01-24 08:12:28.441847-06"2017-01-24 11:56:29.52518-06
114"238"24285"t"2017-05-17 06:49:35.939222-05"2017-05-17 06:49:35.955899-05"2017-05-17 06:49:35.955948-05
115"238"27772"t"2017-05-17 06:49:44.579577-05"2017-05-17 06:49:44.592288-05"2017-05-17 06:49:44.592317-05
116"238"27755"t"2017-05-17 06:49:48.329229-05"2017-05-17 06:49:48.341634-05"2017-05-17 06:49:48.341661-05
117"238"24472"t"2017-05-17 06:49:57.810887-05"2017-05-17 06:49:57.822652-05"2017-05-17 06:49:57.822679-05
118"238"24440"t"2017-05-17 06:50:14.628068-05"2017-05-17 06:50:14.640807-05"2017-05-17 06:50:14.640861-05
119"238"27929"t"2017-05-17 06:50:18.087163-05"2017-05-17 06:50:18.105289-05"2017-05-17 06:50:18.105319-05
120"238"24586"t"2017-05-17 06:50:21.84604-05"2017-05-17 06:50:21.861839-05"2017-05-17 06:50:21.861869-05
121"238"24428"t"2017-05-17 06:50:27.02568-05"2017-05-17 06:50:27.039473-05"2017-05-17 06:50:27.0395-05
122"238"24293"t"2017-05-17 06:50:30.467784-05"2017-05-17 06:50:30.483067-05"2017-05-17 06:50:30.483097-05
123"238"27633"t"2017-05-17 06:50:35.868259-05"2017-05-17 06:50:35.879747-05"2017-05-17 06:50:35.879773-05
124"238"24332"t"2017-05-17 06:50:40.418689-05"2017-05-17 06:50:40.430203-05"2017-05-17 06:50:40.430229-05
125"238"24292"t"2017-05-17 06:50:48.457128-05"2017-05-17 06:50:48.468773-05"2017-05-17 06:50:48.468799-05
126"238"27749"t"2017-05-17 06:50:52.531744-05"2017-05-17 06:50:52.54564-05"2017-05-17 06:50:52.545671-05
127"238"24581"t"2017-05-17 06:51:04.253176-05"2017-05-17 06:51:04.265778-05"2017-05-17 06:51:04.265807-05
128"238"27936"t"2017-05-17 06:51:11.290453-05"2017-05-17 06:51:11.303413-05"2017-05-17 06:51:11.303445-05
129"238"24323"t"2017-05-17 06:51:21.571768-05"2017-05-17 06:51:21.584349-05"2017-05-17 06:51:21.58438-05
130"238"24744"t"2017-05-17 06:51:25.901498-05"2017-05-17 06:51:25.912376-05"2017-05-17 06:51:25.912402-05
131"238"24739"t"2017-05-17 06:51:30.903365-05"2017-05-17 06:51:30.917983-05"2017-05-17 06:51:30.918012-05
132"238"27605"t"2017-05-17 06:51:36.547359-05"2017-05-17 06:51:36.561652-05"2017-05-17 06:51:36.561682-05
133"238"24441"t"2017-05-17 06:51:41.019169-05"2017-05-17 06:51:41.031035-05"2017-05-17 06:51:41.031063-05
134"238"24268"t"2017-05-17 06:51:45.316478-05"2017-05-17 06:51:45.329256-05"2017-05-17 06:51:45.329284-05
135"238"27935"t"2017-05-17 06:51:49.675868-05"2017-05-17 06:51:49.686286-05"2017-05-17 06:51:49.68631-05
136"238"24288"t"2017-05-17 06:51:58.573566-05"2017-05-17 06:51:58.588528-05"2017-05-17 06:51:58.588557-05
137"238"24265"t"2017-05-17 06:52:02.732932-05"2017-05-17 06:52:02.74767-05"2017-05-17 06:52:02.747701-05
138"238"24711"t"2017-05-17 06:52:18.182746-05"2017-05-17 06:52:18.194153-05"2017-05-17 06:52:18.194181-05
139"238"27851"t"2017-05-17 06:52:22.551316-05"2017-05-17 06:52:22.56456-05"2017-05-17 06:52:22.564589-05
140"238"24511"t"2017-05-17 06:52:26.18588-05"2017-05-17 06:52:26.197542-05"2017-05-17 06:52:26.197569-05
141"238"24653"t"2017-05-17 06:52:30.061884-05"2017-05-17 06:52:30.073353-05"2017-05-17 06:52:30.073382-05
142"238"24267"t"2017-05-17 06:52:34.435788-05"2017-05-17 06:52:34.44642-05"2017-05-17 06:52:34.446462-05
143"238"24661"t"2017-05-17 06:52:39.018233-05"2017-05-17 06:52:39.031353-05"2017-05-17 06:52:39.031382-05
144"238"24313"t"2017-05-17 06:52:43.185306-05"2017-05-17 06:52:43.198331-05"2017-05-17 06:52:43.198375-05
145"238"24600"t"2017-05-17 06:52:49.468168-05"2017-05-17 06:52:49.481167-05"2017-05-17 06:52:49.481195-05
146"238"22059"t"2017-05-17 06:52:55.803923-05"2017-05-17 06:52:55.816403-05"2017-05-17 06:52:55.816429-05
147"238"27720"t"2017-05-17 06:52:59.581296-05"2017-05-17 06:52:59.593081-05"2017-05-17 06:52:59.593109-05
148"238"24712"t"2017-05-17 06:53:03.697935-05"2017-05-17 06:53:03.710342-05"2017-05-17 06:53:03.71037-05
149"238"23876"t"2017-05-17 06:53:09.295307-05"2017-05-17 06:53:09.306421-05"2017-05-17 06:53:09.306449-05
150"238"24280"t"2017-05-17 06:53:13.71646-05"2017-05-17 06:53:13.727459-05"2017-05-17 06:53:13.727486-05
151"238"27768"t"2017-05-17 06:53:20.166668-05"2017-05-17 06:53:20.178783-05"2017-05-17 06:53:20.178811-05
152"238"27599"t"2017-05-17 06:53:24.651486-05"2017-05-17 06:53:24.663417-05"2017-05-17 06:53:24.663446-05
153"238"27918"t"2017-05-17 06:53:30.389457-05"2017-05-17 06:53:30.400683-05"2017-05-17 06:53:30.400712-05
154"238"27816"t"2017-05-17 06:53:35.116255-05"2017-05-17 06:53:35.128365-05"2017-05-17 06:53:35.128392-05
155"238"23958"t"2017-05-17 06:53:39.855781-05"2017-05-17 06:53:39.867089-05"2017-05-17 06:53:39.867116-05
156"238"27757"t"2017-05-17 06:53:44.013287-05"2017-05-17 06:53:44.024243-05"2017-05-17 06:53:44.02427-05
157"238"24287"t"2017-05-17 06:53:49.879068-05"2017-05-17 06:53:49.891606-05"2017-05-17 06:53:49.891634-05
158"238"24749"t"2017-05-17 06:53:55.50975-05"2017-05-17 06:53:55.523312-05"2017-05-17 06:53:55.523343-05
159"273"28117"t"2017-06-23 06:51:44.60534-05"2017-06-23 06:51:44.621336-05"2017-06-23 06:51:44.621363-05
160"273"28171"t"2017-06-23 06:51:46.791581-05"2017-06-23 06:51:46.80761-05"2017-06-23 06:51:46.807638-05
161"273"27674"t"2017-06-23 06:51:48.467648-05"2017-06-23 06:51:48.482921-05"2017-06-23 06:51:48.482947-05
162"273"27646"t"2017-06-23 06:51:50.456235-05"2017-06-23 06:51:50.469406-05"2017-06-23 06:51:50.469433-05
163"273"28110"t"2017-06-23 06:51:52.83994-05"2017-06-23 06:51:52.853129-05"2017-06-23 06:51:52.853156-05
164"273"27578"t"2017-06-23 06:51:58.895452-05"2017-06-23 06:51:58.909514-05"2017-06-23 06:51:58.909543-05
165"273"28039"t"2017-06-23 06:52:00.884646-05"2017-06-23 06:52:00.898159-05"2017-06-23 06:52:00.898185-05
166"273"28190"t"2017-06-23 06:52:03.489188-05"2017-06-23 06:52:03.501118-05"2017-06-23 06:52:03.501144-05
167"273"27603"t"2017-06-23 06:52:07.069535-05"2017-06-23 06:52:07.083202-05"2017-06-23 06:52:07.0833-05
168"273"27889"t"2017-06-23 06:52:09.317505-05"2017-06-23 06:52:09.3321-05"2017-06-23 06:52:09.332125-05
169"273"27602"t"2017-06-23 06:52:11.930971-05"2017-06-23 06:52:11.94416-05"2017-06-23 06:52:11.94419-05
171"273"27586"t"2017-06-23 06:52:20.029596-05"2017-06-23 06:52:20.044487-05"2017-06-23 06:52:20.044514-05
172"273"28132"t"2017-06-23 06:52:25.262281-05"2017-06-23 06:52:25.277057-05"2017-06-23 06:52:25.277084-05
173"273"28203"t"2017-06-23 06:52:27.707847-05"2017-06-23 06:52:27.721023-05"2017-06-23 06:52:27.721063-05
174"273"27588"t"2017-06-23 06:52:30.238477-05"2017-06-23 06:52:30.250956-05"2017-06-23 06:52:30.250981-05
175"273"27568"t"2017-06-23 06:52:37.261379-05"2017-06-23 06:52:37.276904-05"2017-06-23 06:52:37.276935-05
176"273"28112"t"2017-06-23 06:52:40.48661-05"2017-06-23 06:52:40.500279-05"2017-06-23 06:52:40.500329-05
177"273"27978"t"2017-06-23 06:52:44.848761-05"2017-06-23 06:52:44.863534-05"2017-06-23 06:52:44.86356-05
178"273"28176"t"2017-06-23 06:52:52.118293-05"2017-06-23 06:52:52.132738-05"2017-06-23 06:52:52.132764-05
179"273"28204"t"2017-06-23 06:52:55.01191-05"2017-06-23 06:52:55.028227-05"2017-06-23 06:52:55.028253-05
180"273"27584"t"2017-06-23 06:52:58.970499-05"2017-06-23 06:52:58.983585-05"2017-06-23 06:52:58.983611-05
181"273"28101"t"2017-06-23 06:53:12.952002-05"2017-06-23 06:53:12.966493-05"2017-06-23 06:53:12.966519-05
182"273"27575"t"2017-06-23 06:53:16.288543-05"2017-06-23 06:53:16.304667-05"2017-06-23 06:53:16.304696-05
183"273"25731"t"2017-06-23 06:53:23.956095-05"2017-06-23 06:53:23.971042-05"2017-06-23 06:53:23.971075-05
184"273"25927"t"2017-06-23 06:53:26.309749-05"2017-06-23 06:53:26.322579-05"2017-06-23 06:53:26.322606-05
185"273"27663"t"2017-06-23 06:53:28.420771-05"2017-06-23 06:53:28.437664-05"2017-06-23 06:53:28.437691-05
186"273"27759"t"2017-06-23 06:53:30.677994-05"2017-06-23 06:53:30.691651-05"2017-06-23 06:53:30.691678-05
187"273"25769"t"2017-06-23 06:53:34.377685-05"2017-06-23 06:53:34.391013-05"2017-06-23 06:53:34.39104-05
188"273"25914"t"2017-06-23 06:53:36.356969-05"2017-06-23 06:53:36.369418-05"2017-06-23 06:53:36.369444-05
189"273"28170"t"2017-06-23 06:53:40.826508-05"2017-06-23 06:53:40.841274-05"2017-06-23 06:53:40.841302-05
190"273"28148"t"2017-06-23 06:53:41.869682-05"2017-06-23 06:53:41.883375-05"2017-06-23 06:53:41.883401-05
191"273"25958"t"2017-06-23 06:53:44.272717-05"2017-06-23 06:53:44.288477-05"2017-06-23 06:53:44.288509-05
192"273"27656"t"2017-06-23 06:56:27.779681-05"2017-06-23 06:56:27.796108-05"2017-06-23 06:56:27.796135-05
193"273"25948"t"2017-06-23 06:56:33.360189-05"2017-06-23 06:56:33.374739-05"2017-06-23 06:56:33.374765-05
194"273"25855"t"2017-06-23 06:56:39.289632-05"2017-06-23 06:56:39.303202-05"2017-06-23 06:56:39.303228-05
195"273"25749"t"2017-06-23 06:56:44.10661-05"2017-06-23 06:56:44.11851-05"2017-06-23 06:56:44.118536-05
196"273"25697"t"2017-06-23 06:56:50.486779-05"2017-06-23 06:56:50.503518-05"2017-06-23 06:56:50.503547-05
197"273"25934"t"2017-06-23 06:56:57.267599-05"2017-06-23 06:56:57.281588-05"2017-06-23 06:56:57.281615-05
198"273"27660"t"2017-06-23 06:56:59.938011-05"2017-06-23 06:56:59.953673-05"2017-06-23 06:56:59.953703-05
199"273"25960"t"2017-06-23 06:57:09.203059-05"2017-06-23 06:57:09.223173-05"2017-06-23 06:57:09.223202-05
200"273"22858"t"2017-06-23 06:57:14.575756-05"2017-06-23 06:57:14.593308-05"2017-06-23 06:57:14.593336-05
201"273"25923"t"2017-06-23 06:57:18.53552-05"2017-06-23 06:57:18.549165-05"2017-06-23 06:57:18.549193-05
202"273"27651"t"2017-06-23 06:57:21.670658-05"2017-06-23 06:57:21.686823-05"2017-06-23 06:57:21.686853-05
203"273"22995"t"2017-06-23 06:57:26.811601-05"2017-06-23 06:57:26.826546-05"2017-06-23 06:57:26.826574-05
204"273"28194"t"2017-06-23 06:57:30.837158-05"2017-06-23 06:57:30.853801-05"2017-06-23 06:57:30.853829-05
205"273"28035"t"2017-06-23 06:57:35.621527-05"2017-06-23 06:57:35.636593-05"2017-06-23 06:57:35.636626-05
206"273"28151"t"2017-06-23 06:57:38.491401-05"2017-06-23 06:57:38.505682-05"2017-06-23 06:57:38.505708-05
