id|question|camp_id|created|updated|is_required
50|<p>Hay momentos durante el d&iacute;a donde los campers pueden tener malestares.</p>\n\n<p>Tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</p>\n\n<p>Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;siguiente lista:&nbsp;</p>\n\n<table align="left" border="1" cellpadding="0" cellspacing="1" style="width:293px;" width="220">\n\t<thead>\n\t\t<tr>\n\t\t\t<th>\n\t\t\t<p align="center"><strong>Medicamento</strong></p>\n\t\t\t</th>\n\t\t\t<th>\n\t\t\t<p align="center"><strong>Nombre Comercial</strong></p>\n\t\t\t</th>\n\t\t\t<th>\n\t\t\t<p align="center"><strong>Uso</strong></p>\n\t\t\t</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Ibuprofeno</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Motrin</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Dolor de cabeza</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Salicato de Bismuto</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Pepto Bismol</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Malestar estomacal</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Butilhioscina</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Buscapina</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Dolor Estomacal</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Dimenhidrinato</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Dramamine</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Mareo y Vomito</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Neomicina</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Treda</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Diarrea</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Anthistam&iacute;nico</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Avapena</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Alergias y Piquetes</p>\n\t\t\t</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>\n\t\t\t<p>Soluci&oacute;n Oft&aacute;lmica</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>N/A</p>\n\t\t\t</td>\n\t\t\t<td>\n\t\t\t<p>Lubricante de ojos</p>\n\t\t\t</td>\n\t\t</tr>\n\t</tbody>\n</table>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p>Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</p>\n\n<p>Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</p>\n|20073|2015-10-11|2015-10-11|f
2|<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el campamento donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Como sabes, un m&eacute;dico nos acompa&ntilde;a las 24 horas del d&iacute;a; y tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 308px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n Oft&aacute;lmica</td>\n\t\t\t<td>&nbsp;</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n\n<p style="line-height: 20.7999992370605px;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20029|2015-10-11|2015-10-11|f
48|<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el campamento donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Como sabes, un m&eacute;dico nos acompa&ntilde;a las 24 horas del d&iacute;a; y tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 308px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n Oft&aacute;lmica</td>\n\t\t\t<td>&nbsp;</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n\n<p style="line-height: 20.7999992370605px;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20020|2015-10-11|2015-10-11|f
3|<p><span style="color:#DAA520;"><strong>&iquest;Est&aacute;s </strong></span><span style="color:#0000FF;"><strong><u>seguro</u></strong></span><span style="color:#DAA520;"><strong>?</strong></span></p>\n|20067|2015-10-11|2015-10-11|f
12|<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el d&iacute;a donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<center style="line-height: 20.7999992370605px;">\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 293px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n Oft&aacute;lmica</td>\n\t\t\t<td>N/A</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n</center>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20056|2015-10-11|2015-10-11|f
5|<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el d&iacute;a donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<center style="line-height: 20.7999992370605px;">\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 293px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n Oft&aacute;lmica</td>\n\t\t\t<td>N/A</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n</center>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20069|2015-10-11|2015-10-11|f
1|<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el campamento donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Como sabes, un m&eacute;dico nos acompa&ntilde;a las 24 horas del d&iacute;a; y tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 308px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n &Oacute;tica</td>\n\t\t\t<td>Soldryn</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n\n<p style="line-height: 20.7999992370605px;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20027|2015-10-11|2015-10-11|f
53|<p>Fecha de Nacimiento del pap&aacute; que nos acompa&ntilde;ar&aacute;: (Para agregarlo en la lista del seguro)</p>\n|20032|2015-10-11|2015-10-11|f
144|<p>Por &uacute;ltimo, &iexcl;nos encantar&iacute;a saber&nbsp;si fuiste invitado por alg&uacute;n promotor de verano kobal!</p>\n\n<p>Si fuiste invitado por alg&uacute;n promotor, puedes escribir su nombre en el espacio de abajo. En caso contrario, por favor escribe el medio por el cual&nbsp;te enteraste de nosotros.&nbsp;</p>\n\n<p>(Ej.: campamento escolar, internet, facebook, poster/flyer, me platicaron de ustedes!)</p>\n\n<p>&iexcl;Mil gracias por la confianza!</p>\n|20119|2016-02-25|2016-03-31|f
9|<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Hay momentos durante el d&iacute;a donde los campers pueden tener malestares.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Tenemos la pol&iacute;tica de comunicarnos con los pap&aacute;s antes de administrar cualquier medicamento que no haya sido autorizado previamente o enviado por la familia.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Para evitarte la molestia de nuestra llamada en casos menores, te proponemos que pre-autorices los medicamentos que creas convenientes de la&nbsp;</span><span style="line-height: 20.7999992370605px;">siguiente lista:&nbsp;</span></p>\n\n<center style="line-height: 20.7999992370605px;">\n<table align="left" border="1" cellpadding="1" cellspacing="1" style="line-height: 20.7999992370605px; width: 293px;">\n\t<thead>\n\t\t<tr>\n\t\t\t<th scope="col">Medicamento</th>\n\t\t\t<th scope="col">Nombre Comercial</th>\n\t\t\t<th scope="col">Uso</th>\n\t\t</tr>\n\t</thead>\n\t<tbody>\n\t\t<tr>\n\t\t\t<td>Ibuprofeno</td>\n\t\t\t<td>Motrin</td>\n\t\t\t<td>Dolor de cabeza</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Salicato de Bismuto</td>\n\t\t\t<td>Pepto Bismol</td>\n\t\t\t<td>Malestar estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Butilhioscina</td>\n\t\t\t<td>Buscapina</td>\n\t\t\t<td>Dolor Estomacal</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Difenidol</td>\n\t\t\t<td>Vontrol</td>\n\t\t\t<td>Mareo y Vomito</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Neomicina</td>\n\t\t\t<td>Treda</td>\n\t\t\t<td>Diarrea</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Anthistam&iacute;nico</td>\n\t\t\t<td>Avapena</td>\n\t\t\t<td>Alergias y Piquetes</td>\n\t\t</tr>\n\t\t<tr>\n\t\t\t<td>Soluci&oacute;n Oft&aacute;lmica</td>\n\t\t\t<td>N/A</td>\n\t\t\t<td>Lubricante de ojos</td>\n\t\t</tr>\n\t</tbody>\n</table>\n</center>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;">&nbsp;</p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Descuida que al final del campamento, te notificar&iacute;amos si tu hij@ tuvo alg&uacute;n malestar y qu&eacute; medicamento se le dio.</span></p>\n\n<p style="line-height: 20.7999992370605px; text-align: -webkit-center;"><span style="line-height: 20.7999992370605px;">Te pedimos que anotes&nbsp;si autorizas estos medicamentos o si prefieres que te llamemos en cada caso.</span></p>\n|20049|2015-10-11|2015-10-11|f
