id"maximum_capacity"created"updated"camp_id"grouping_id
5"40"2018-06-26 21:13:44.028167-05"2018-06-26 21:13:44.0282-05"20426"1
6"10"2018-06-28 11:41:53.443635-05"2018-06-28 11:41:53.443684-05"20426"7
7"10"2018-06-28 11:42:00.45665-05"2018-06-28 11:42:00.456683-05"20426"6
8"10"2018-06-28 11:42:08.224124-05"2018-06-28 11:42:08.224157-05"20426"8
9"10"2018-06-28 11:42:15.906921-05"2018-06-28 11:42:15.906956-05"20426"9
207"13"2018-10-04 11:46:40.496063-05"2018-10-15 11:04:14.610872-05"20439"86
243"35"2018-11-07 14:19:08.683028-06"2018-11-07 14:19:08.683061-06"20449"7
1"42"2018-06-20 16:19:18.629-05"2018-06-20 16:19:18.629-05"20351"1
2"42"2018-06-20 16:19:26.73-05"2018-06-20 16:19:26.73-05"20351"2
3"42"2018-06-20 16:19:54.297-05"2018-06-20 16:19:54.297-05"20352"1
4"42"2018-06-20 16:20:02.837-05"2018-06-20 16:20:02.837-05"20352"2
10"40"2018-07-02 17:04:39.421-05"2018-07-02 17:04:39.421-05"20430"1
48"38"2018-08-20 09:50:10.13607-05"2018-10-01 13:14:49.264168-05"20438"2
145"60"2018-10-04 11:13:14.738293-05"2018-10-04 11:13:14.738334-05"20440"13
149"60"2018-10-04 11:14:15.687399-05"2018-10-04 11:14:15.687435-05"20440"6
151"60"2018-10-04 11:14:37.381798-05"2018-10-04 11:14:37.381828-05"20440"9
153"50"2018-10-04 11:26:28.493468-05"2018-10-04 11:26:28.4935-05"20440"2
155"50"2018-10-04 11:26:46.066209-05"2018-10-04 11:26:46.066243-05"20440"4
157"10"2018-10-04 11:31:59.809028-05"2018-10-04 11:31:59.809073-05"20440"75
159"5"2018-10-04 11:32:23.699148-05"2018-10-04 11:32:23.699193-05"20440"77
161"5"2018-10-04 11:32:47.696806-05"2018-10-04 11:32:47.696863-05"20440"79
163"5"2018-10-04 11:33:07.699988-05"2018-10-04 11:33:07.700019-05"20440"81
165"5"2018-10-04 11:33:27.792682-05"2018-10-04 11:33:27.792727-05"20440"83
167"4"2018-10-04 11:36:58.212857-05"2018-10-04 11:36:58.212905-05"20440"113
169"6"2018-10-04 11:37:29.006707-05"2018-10-04 11:37:29.006751-05"20440"115
