id|name|start|end|location_id|school_id|season_id|url|special_message|created|updated|active|insurance|venue|photo_password|medical_report|photo_url|registration|public_price|show_payment_parent|show_rebate_parent|reminder_camp_days|reminder_discount_days|end_registration|start_registration|special_message_admin|show_paypal_button|paypal_button|currency_id|occupancy_camp|show_payment_order
20136|Coyote Producciones Sept. 2015|2015-09-21 07:00:00-05|2015-09-24 18:00:00-05|4|103|3|||2015-09-09|2015-09-21|t|0|-|-|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20176|Evento Linio Enero 2016|2016-01-21 07:00:00-06|2016-01-21 18:00:00-06||119|7|||2016-01-07|2016-01-18|t|0|-|-|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20083|Camp "Niños en Alegria" Beneficiencia 2015|2015-06-08 07:00:00-05|2015-06-12 18:00:00-05|34|103|2|||2015-04-09|2015-06-08|t|50000|la Casa Hogar|-|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20038|London 3ro Secundaria 2015|2015-05-31 06:30:00-05|2015-06-04 18:00:00-05|32|10|2|http://kincamp.com/london/||2014-10-01|2015-05-29|t|50000|el colegio |kincamplondon|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20084|RIA Lerma 2015|2015-06-20 06:30:00-05|2015-06-21 16:30:00-05|33|103|2|http://www.kincamp.com/rialerma||2015-04-15|2015-06-20|t|50000|el colegio |kincamprialerma|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20168|Convivio Tomás Moro 4to. primaria Enero 2016|2016-01-15 07:00:00-06|2016-01-15 18:00:00-06||119|7|http://www.kincamp.com/tomasmoro||2015-12-06|2016-01-14|t|150000|el colegio|-|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20114|Ciudad de México 4to. primaria Marzo 2016|2016-03-01 06:30:00-06|2016-03-03 18:00:00-06|34|50|7|http://www.kincamp.com/ccm|<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">El costo del campamento es de $4,000 pesos (Cuatro mil pesos 00/100MN).</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);"><strong style="margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-stretch: inherit; font-size: inherit; line-height: inherit; font-family: inherit; vertical-align: baseline;">Las fechas de pago son las siguientes:</strong></p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">Primer Pago 29 de enero 2016: $2,000 pesos<br />\nSegundo&nbsp;Pago 15 de febrero: $2,000 pesos</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">Ponemos a tu disposici&oacute;n las siguientes formas de pago:</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">*Dep&oacute;sito o transferencia a la cuenta:</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">BBVA BANCOMER<br />\n&Aacute;NGELA PATRICIA &Aacute;VILA ROJAS<br />\nCta 0199909435 &nbsp;Clabe 012180001999094351</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">*Con tarjeta de cr&eacute;dito v&iacute;a PAYPAL en nuestro sistema de inscripci&oacute;n (Ojo, en pago con tarjeta aplica 5% de comisi&oacute;n).</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);"><strong style="margin: 0px; padding: 0px; border: 0px; font-style: inherit; font-variant: inherit; font-stretch: inherit; font-size: inherit; line-height: inherit; font-family: inherit; vertical-align: baseline;">IMPORTANTE:</strong></p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">**Mandar el comprobante de pago a pagos@kincamp.com indicando: nombre completo del participante, escuela y grado.</p>\n\n<p style="margin: 0px 0px 20px; padding: 0px; border: 0px; font-stretch: inherit; line-height: 21px; font-family: 'Droid Sans'; vertical-align: baseline; color: rgb(119, 119, 119);">**En caso de requerir factura se agregar&aacute; el IVA correspondiente y te pedimos nos contactes para indicarte la forma de realizar el pago**</p>\n|2015-08-21|2016-03-01|t|150000|el Colegio|kincampccm|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20159|Marymount Prepa Enero 2016|2016-01-28 06:30:00-06|2016-01-31 14:00:00-06|3|65|7|http://www.grupo-kin.com/marymount||2015-11-12|2016-01-27|t|150000|el Colegio|kincampmarymount|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
20098|Overnight London Special 2015|2015-06-29 07:00:00-05|2015-06-30 18:00:00-05|30|10|6|||2015-07-09|2015-09-11|t|0|Escuela|-|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
228|VIAJE GENERACION MARYMOUNT 2012|2012-02-02 00:00:00-06|2012-02-05 00:00:00-06|25|65|15|http://www.marymount.kincamp.com/||2011-11-03|2015-03-23|t|50000|El Colegio|kincampmarymount|||t|0|f|f|7|7|2019-05-08 07:42:52.250068-05|2019-05-08 07:42:52.347578-05||t||1|0|t
