id|name|camp_id|template_id|send|created|camp_parents|camp_staff|season_id|updated|camp_school|active_time

1928|.||1930|t|2023-07-05 15:12:00.021458-06|f|f||2023-07-05 15:12:00.122741-06|f|True

1873|.||1873|t|2023-06-21 15:59:18.798047-06|f|f||2023-06-21 15:59:19.080199-06|f|True

1929|.||1931|t|2023-07-05 16:13:39.605091-06|f|f||2023-07-05 16:13:39.912165-06|f|True

1930|.||1932|t|2023-07-05 22:35:03.308854-06|f|f||2023-07-05 22:35:03.478208-06|f|True

1931|.||1933|t|2023-07-06 12:22:26.857704-06|f|f||2023-07-06 12:22:26.958975-06|f|True

1932|.||1934|t|2023-07-06 12:43:51.828369-06|f|f||2023-07-06 12:43:51.918324-06|f|True

1933|.||1935|t|2023-07-06 15:12:46.127817-06|f|f||2023-07-06 15:12:46.302543-06|f|True

1934|.||1936|t|2023-07-06 19:26:44.16674-06|f|f||2023-07-06 19:26:44.33613-06|f|True

1935|.||1937|t|2023-07-07 22:03:43.300193-06|f|f||2023-07-07 22:03:43.455408-06|f|True

1936|.||1938|t|2023-07-08 14:54:29.620548-06|f|f||2023-07-08 14:54:29.756754-06|f|True

1937|.||1939|t|2023-07-08 15:51:46.742229-06|f|f||2023-07-08 15:51:46.766614-06|f|True

1938|.||1940|t|2023-07-09 12:26:56.730581-06|f|f||2023-07-09 12:26:56.834221-06|f|True

1939|.||1941|t|2023-07-09 22:04:59.737493-06|f|f||2023-07-09 22:04:59.839918-06|f|True

1940|.||1942|t|2023-07-10 09:59:22.922913-06|f|f||2023-07-10 09:59:23.158438-06|f|True

1941|.||1943|t|2023-07-10 14:04:45.2533-06|f|f||2023-07-10 14:04:45.545009-06|f|True

1942|.||1944|t|2023-07-10 19:22:50.170283-06|f|f||2023-07-10 19:22:50.266278-06|f|True

1943|.||1945|t|2023-07-11 09:43:36.56994-06|f|f||2023-07-11 09:43:36.656677-06|f|True

1944|.||1946|t|2023-07-11 12:00:30.628419-06|f|f||2023-07-11 12:00:30.719846-06|f|True

1945|.||1947|t|2023-07-12 09:48:03.471801-06|f|f||2023-07-12 09:48:03.624449-06|f|True

1946|.||1948|t|2023-07-12 19:37:33.125827-06|f|f||2023-07-12 19:37:33.284259-06|f|True

1947|.||1949|t|2023-07-13 10:11:10.412977-06|f|f||2023-07-13 10:11:10.635578-06|f|True

1948|.||1950|t|2023-07-13 10:22:44.839754-06|f|f||2023-07-13 10:22:45.171975-06|f|True

1949|.||1951|t|2023-07-13 10:33:34.24581-06|f|f||2023-07-13 10:33:34.470625-06|f|True

1950|.||1952|t|2023-07-13 14:34:24.226524-06|f|f||2023-07-13 14:34:24.249354-06|f|True

1951|.||1954|t|2023-07-13 14:44:05.083532-06|f|f||2023-07-13 14:44:05.323949-06|f|True

1952|.||1955|t|2023-07-13 14:44:27.483958-06|f|f||2023-07-13 14:44:27.882883-06|f|True

1953|.||1956|t|2023-07-13 17:00:06.367014-06|f|f||2023-07-13 17:00:06.606773-06|f|True

1954|.||1957|t|2023-07-13 23:06:33.973116-06|f|f||2023-07-13 23:06:34.124974-06|f|True

1955|.||1958|t|2023-07-13 23:16:57.973969-06|f|f||2023-07-13 23:16:58.078078-06|f|True

1956|||1950|t|2023-07-14 09:59:24.605013-06|f|f||2023-07-14 09:59:24.619921-06|f|True

1957|.||1959|t|2023-07-14 10:00:48.998431-06|f|f||2023-07-14 10:00:49.014129-06|f|True

1958|.||1960|t|2023-07-14 12:05:33.004572-06|f|f||2023-07-14 12:05:33.01849-06|f|True

1959|.||1961|t|2023-07-14 15:11:00.055246-06|f|f||2023-07-14 15:11:00.224013-06|f|True

1960|.||1962|t|2023-07-14 23:47:03.600158-06|f|f||2023-07-14 23:47:03.817777-06|f|True

1961|.||1963|t|2023-07-15 15:17:59.073751-06|f|f||2023-07-15 15:17:59.291445-06|f|True

1841|.||1840|t|2023-06-16 13:53:10.636556-06|f|f||2023-06-16 13:53:10.917598-06|f|True

