id"is_selected"created"updated"camper_id"extra_charge_id
2"t"2018-12-20 11:46:20.072375-06"2018-12-20 11:46:20.072416-06"31204"4
3"t"2018-12-20 11:46:20.083721-06"2018-12-20 11:46:20.083747-06"31204"7
6"t"2018-12-31 11:28:06.667472-06"2018-12-31 11:28:06.667526-06"32923"1
7"t"2019-01-21 07:47:27.335613-06"2019-01-21 07:47:27.335637-06"33042"6
8"t"2019-01-21 07:47:27.344924-06"2019-01-21 07:47:27.344947-06"33042"5
9"t"2019-01-21 07:47:27.352874-06"2019-01-21 07:47:27.352895-06"33042"4
10"t"2019-01-21 07:48:38.199828-06"2019-01-21 07:48:38.199857-06"33044"3
11"t"2019-01-21 07:48:38.209192-06"2019-01-21 07:48:38.209218-06"33044"2
12"t"2019-01-21 07:48:38.217865-06"2019-01-21 07:48:38.217888-06"33044"1
13"t"2019-01-28 21:03:47.918984-06"2019-01-28 21:03:47.91901-06"33146"3
14"t"2019-01-28 21:03:47.927829-06"2019-01-28 21:03:47.927853-06"33146"1
15"t"2019-02-28 14:04:30.807324-06"2019-02-28 14:04:30.807403-06"33565"1
16"t"2019-02-28 14:12:26.511512-06"2019-02-28 14:12:26.511537-06"33567"4
17"t"2019-03-20 12:54:20.716485-06"2019-03-20 12:54:20.716511-06"33732"6
18"t"2019-03-20 12:54:20.725398-06"2019-03-20 12:54:20.725422-06"33732"4
19"t"2019-03-20 12:58:44.321504-06"2019-03-20 12:58:44.321564-06"33733"3
20"t"2019-03-20 12:58:44.333984-06"2019-03-20 12:58:44.33402-06"33733"1
21"t"2019-04-03 22:07:48.71424-06"2019-04-03 22:07:48.71428-06"33850"4
22"t"2019-04-15 17:10:43.450332-05"2019-04-15 17:10:43.450356-05"33524"1
23"t"2019-04-27 09:13:50.406217-05"2019-04-27 09:13:50.406236-05"34005"1
24"t"2019-04-27 09:13:50.413568-05"2019-04-27 09:13:50.413586-05"34005"3
25"t"2019-04-27 11:26:53.628556-05"2019-04-27 11:26:53.628576-05"34023"9
26"t"2019-04-27 11:29:23.008035-05"2019-04-27 11:29:23.008054-05"33887"9
