id|parent_id|camper_id|camp_id|paid|payment_date|created|updated|payment_amount|txn_number|payment_method_id|txn_type_id|currency_id
4839|25561|26538|20262|t|2016-10-28|2017-12-21|2017-12-21|-4500|26538|1|3|1
140|11026|10465|335|f|2015-10-11|2015-10-11|2017-12-21|0|10465|6|1|1
149|11105|10485|381|t|2014-03-20|2015-10-11|2017-12-21|0|10485|6|1|1
170|11221|10599|335|f|2015-10-11|2015-10-11|2017-12-21|0|10599|6|1|1
186|6376|6249|362|t|2014-04-04|2015-10-11|2017-12-21|0|6249|6|1|1
190|11290|10671|335|f|2015-10-11|2015-10-11|2017-12-21|0|10671|6|1|1
195|11313|10687|338|f|2015-10-11|2015-10-11|2017-12-21|0|10687|6|1|1
205|6438|15029|362|t|2014-06-03|2015-10-11|2017-12-21|0|15029|6|1|1
193|11300|10678|338|t|2014-04-24|2015-10-11|2017-12-21|0|10678|6|1|1
192|11299|10677|338|t|2014-04-24|2015-10-11|2017-12-21|0|10677|6|1|1
187|5760|10659|338|t|2014-04-24|2015-10-11|2017-12-21|0|10659|6|1|1
183|11255|10637|338|t|2014-04-24|2015-10-11|2017-12-21|0|10637|6|1|1
182|6682|10636|338|t|2014-04-24|2015-10-11|2017-12-21|0|10636|6|1|1
181|5708|10632|338|t|2014-04-24|2015-10-11|2017-12-21|0|10632|6|1|1
180|7293|10631|338|t|2014-04-24|2015-10-11|2017-12-21|0|10631|6|1|1
179|11251|10630|338|t|2014-04-24|2015-10-11|2017-12-21|0|10630|6|1|1
154|5713|10470|338|t|2014-04-24|2015-10-11|2017-12-21|0|10470|6|1|1
177|11248|10627|338|t|2014-04-24|2015-10-11|2017-12-21|0|10627|6|1|1
159|11112|10515|338|t|2014-04-24|2015-10-11|2017-12-21|0|10515|6|1|1
175|11240|10621|338|t|2014-04-24|2015-10-11|2017-12-21|0|10621|6|1|1
173|7333|10618|338|t|2014-04-24|2015-10-11|2017-12-21|0|10618|6|1|1
172|11231|10610|338|t|2014-04-24|2015-10-11|2017-12-21|0|10610|6|1|1
163|11139|10526|338|t|2014-04-24|2015-10-11|2017-12-21|0|10526|6|1|1
162|11136|10524|338|t|2014-04-24|2015-10-11|2017-12-21|0|10524|6|1|1
145|5716|10476|338|t|2014-04-24|2015-10-11|2017-12-21|0|10476|6|1|1
143|11090|10469|338|t|2014-04-24|2015-10-11|2017-12-21|0|10469|6|1|1
131|10455|9866|338|t|2014-04-24|2015-10-11|2017-12-21|0|9866|6|1|1
130|7217|9865|338|t|2014-04-24|2015-10-11|2017-12-21|0|9865|6|1|1
125|10101|9529|338|t|2014-04-24|2015-10-11|2017-12-21|0|9529|6|1|1
152|11108|10489|381|t|2014-03-19|2015-10-11|2017-12-21|0|10489|6|1|1
148|11103|10484|381|t|2014-03-19|2015-10-11|2017-12-21|0|10484|6|1|1
137|11071|10454|334|t|2014-04-24|2015-10-11|2017-12-21|0|10454|6|1|1
136|11071|10453|334|t|2014-04-24|2015-10-11|2017-12-21|0|10453|6|1|1
194|8389|8081|334|t|2014-04-22|2015-10-11|2017-12-21|0|8081|6|1|1
199|19|15005|338|f|2015-10-11|2015-10-11|2017-12-21|0|15005|6|1|1
202|25|15009|338|f|2015-10-11|2015-10-11|2017-12-21|0|15009|6|1|1
204|31|15016|338|f|2015-10-11|2015-10-11|2017-12-21|0|15016|6|1|1
216|6488|6362|362|t|2014-05-06|2015-10-11|2017-12-21|0|6362|6|1|1
221|8065|7840|362|t|2014-05-07|2015-10-11|2017-12-21|0|7840|6|1|1
220|20077|20075|334|t|2014-05-14|2015-10-11|2017-12-21|0|20075|6|1|1
135|11069|10450|381|t|2014-05-15|2015-10-11|2017-12-21|0|10450|6|1|1
225|20102|20103|20002|t|2014-05-16|2015-10-11|2017-12-21|0|20103|6|1|1
227|20104|20105|362|t|2014-05-16|2015-10-11|2017-12-21|0|20105|6|1|1
228|20105|20106|20002|t|2014-05-16|2015-10-11|2017-12-21|0|20106|6|1|1
235|20113|20115|20002|t|2014-05-18|2015-10-11|2017-12-21|0|20115|6|1|1
236|20116|20117|20002|t|2014-05-18|2015-10-11|2017-12-21|0|20117|6|1|1
241|20130|20131|20002|t|2014-05-19|2015-10-11|2017-12-21|0|20131|6|1|1
223|20084|20084|335|t|2014-05-19|2015-10-11|2017-12-21|0|20084|6|1|1
242|20133|20133|20002|t|2014-05-19|2015-10-11|2017-12-21|0|20133|6|1|1
246|20154|20150|20002|t|2014-05-20|2015-10-11|2017-12-21|0|20150|6|1|1
210|6489|6363|362|t|2014-05-20|2015-10-11|2017-12-21|0|6363|6|1|1
191|6369|6244|362|t|2014-05-20|2015-10-11|2017-12-21|0|6244|6|1|1
230|20110|20112|20002|t|2014-05-20|2015-10-11|2017-12-21|0|20112|6|1|1
226|20103|20104|20002|t|2014-05-16|2015-10-11|2017-12-21|0|20104|6|1|1
249|20161|20158|20002|t|2014-05-20|2015-10-11|2017-12-21|0|20158|6|1|1
253|20176|20174|20002|f|2015-10-11|2015-10-11|2017-12-21|0|20174|6|1|1
251|20172|20170|20002|t|2014-05-21|2015-10-11|2017-12-21|0|20170|6|1|1
256|8422|8118|335|f|2015-10-11|2015-10-11|2017-12-21|0|8118|6|1|1
257|20190|20188|20002|t|2014-05-22|2015-10-11|2017-12-21|0|20188|6|1|1
258|20211|20206|20002|t|2014-05-22|2015-10-11|2017-12-21|0|20206|6|1|1
259|7987|7761|362|t|2014-05-22|2015-10-11|2017-12-21|0|7761|6|1|1
178|6453|6323|362|t|2014-05-23|2015-10-11|2017-12-21|0|6323|6|1|1
262|20217|20218|20002|t|2014-05-26|2015-10-11|2017-12-21|0|20218|6|1|1
245|20145|20143|20002|t|2014-05-26|2015-10-11|2017-12-21|0|20143|6|1|1
266|20238|20235|20002|t|2014-05-26|2015-10-11|2017-12-21|0|20235|6|1|1
150|11106|10487|381|t|2014-05-26|2015-10-11|2017-12-21|0|10487|6|1|1
153|11113|10492|381|t|2014-05-20|2015-10-11|2017-12-21|0|10492|6|1|1
270|20250|20252|20002|f|2015-10-11|2015-10-11|2017-12-21|0|20252|6|1|1
271|20077|20253|334|t|2014-05-28|2015-10-11|2017-12-21|0|20253|6|1|1
198|6451|6321|362|t|2014-05-28|2015-10-11|2017-12-21|0|6321|6|1|1
273|7615|20257|362|t|2014-05-28|2015-10-11|2017-12-21|0|20257|6|1|1
275|6500|6374|362|t|2014-05-19|2015-10-11|2017-12-21|0|6374|6|1|1
166|6377|6250|362|t|2014-05-30|2015-10-11|2017-12-21|0|6250|6|1|1
144|11093|10475|381|t|2014-06-02|2015-10-11|2017-12-21|0|10475|6|1|1
156|11117|10498|381|t|2014-05-30|2015-10-11|2017-12-21|0|10498|6|1|1
215|6467|6337|362|t|2014-06-02|2015-10-11|2017-12-21|0|6337|6|1|1
138|11074|10459|381|t|2014-06-02|2015-10-11|2017-12-21|0|10459|6|1|1
206|6406|6281|362|t|2014-06-02|2015-10-11|2017-12-21|0|6281|6|1|1
281|6496|20284|362|t|2014-06-02|2015-10-11|2017-12-21|0|20284|6|1|1
208|6407|6280|362|t|2014-06-02|2015-10-11|2017-12-21|0|6280|6|1|1
282|6456|6328|362|t|2014-06-02|2015-10-11|2017-12-21|0|6328|6|1|1
265|6381|6254|362|t|2014-06-03|2015-10-11|2017-12-21|0|6254|6|1|1
237|6515|6390|362|t|2014-05-21|2015-10-11|2017-12-21|0|6390|6|1|1
146|6375|6248|362|t|2014-04-28|2015-10-11|2017-12-21|0|6248|6|1|1
147|11097|10482|381|t|2014-06-03|2015-10-11|2017-12-21|0|10482|6|1|1
212|10014|15066|362|t|2014-05-30|2015-10-11|2017-12-21|0|15066|6|1|1
231|20111|20113|20002|t|2014-06-04|2015-10-11|2017-12-21|0|20113|6|1|1
219|20073|20073|334|t|2014-07-21|2015-10-11|2017-12-21|0|20073|6|1|1
165|11176|10557|381|t|2014-06-04|2015-10-11|2017-12-21|0|10557|6|1|1
252|20173|20171|20002|t|2014-06-05|2015-10-11|2017-12-21|0|20171|6|1|1
4840|25566|26542|20262|t|2017-02-08|2017-12-21|2017-12-21|-4500|26542|1|3|1
142|11088|10468|362|t|2014-05-30|2015-10-11|2017-12-21|0|10468|6|1|1
174|11239|10619|381|t|2014-06-05|2015-10-11|2017-12-21|0|10619|6|1|1
196|11318|10692|362|t|2014-06-02|2015-10-11|2017-12-21|0|10692|6|1|1
276|6384|6257|362|t|2014-06-03|2015-10-11|2017-12-21|0|6257|6|1|1
214|6399|6272|362|t|2014-06-02|2015-10-11|2017-12-21|0|6272|6|1|1
268|20178|20249|20002|t|2014-06-02|2015-10-11|2017-12-21|0|20249|6|1|1
171|11095|10600|381|t|2014-06-02|2015-10-11|2017-12-21|0|10600|6|1|1
133|10977|10355|381|t|2014-06-03|2015-10-11|2017-12-21|0|10355|6|1|1
222|20079|20078|381|t|2014-06-03|2015-10-11|2017-12-21|0|20078|6|1|1
169|11200|10581|381|t|2014-06-11|2015-10-11|2017-12-21|0|10581|6|1|1
260|20215|20214|20002|t|2014-06-13|2015-10-11|2017-12-21|0|20214|6|1|1
167|11199|10580|381|t|2014-06-04|2015-10-11|2017-12-21|0|10580|6|1|1
151|11107|10488|381|t|2014-06-04|2015-10-11|2017-12-21|0|10488|6|1|1
240|20124|20126|20002|t|2014-06-16|2015-10-11|2017-12-21|0|20126|6|1|1
239|20122|20123|20002|t|2014-06-16|2015-10-11|2017-12-21|0|20123|6|1|1
247|20156|20152|20002|t|2014-06-16|2015-10-11|2017-12-21|0|20152|6|1|1
243|20141|20140|20002|t|2014-06-17|2015-10-11|2017-12-21|0|20140|6|1|1
238|20121|20122|20002|t|2014-06-18|2015-10-11|2017-12-21|0|20122|6|1|1
269|20249|20251|20002|t|2014-06-18|2015-10-11|2017-12-21|0|20251|6|1|1
248|8210|7933|334|t|2014-07-09|2015-10-11|2017-12-21|0|7933|6|1|1
132|8720|8395|334|t|2014-07-03|2015-10-11|2017-12-21|0|8395|6|1|1
218|7857|7648|335|t|2014-07-02|2015-10-11|2017-12-21|0|7648|6|1|1
280|20276|20281|381|t|2014-06-04|2015-10-11|2017-12-21|0|20281|6|1|1
217|7857|7649|335|t|2014-07-02|2015-10-11|2017-12-21|0|7649|6|1|1
272|20252|20256|335|t|2014-06-27|2015-10-11|2017-12-21|0|20256|6|1|1
