id"store_payment_date"store_payment_amount"created"updated"camp_id"camper_id"parent_id"store_type_movement_id
1"2018-03-07 19:55:19.948944-06"250"2018-03-07 19:55:19.948998-06"2018-03-07 19:55:19.949018-06"20354"28012"26797"1
2"2018-03-07 19:55:51.57109-06"250"2018-03-07 19:55:51.571145-06"2018-03-07 19:55:51.571165-06"20354"27969"26759"1
3"2018-03-07 19:56:09.98743-06"200"2018-03-07 19:56:09.987528-06"2018-03-07 19:56:09.98757-06"20354"27928"26725"1
4"2018-03-07 19:56:27.384004-06"250"2018-03-07 19:56:27.384064-06"2018-03-07 19:56:27.384085-06"20354"27962"26752"1
5"2018-03-07 19:56:37.838265-06"200"2018-03-07 19:56:37.838336-06"2018-03-07 19:56:37.838356-06"20354"27862"26667"1
6"2018-03-07 19:56:52.063771-06"300"2018-03-07 19:56:52.063885-06"2018-03-07 19:56:52.063929-06"20354"27921"26718"1
7"2018-03-07 19:57:08.612001-06"300"2018-03-07 19:57:08.612056-06"2018-03-07 19:57:08.612075-06"20354"27977"26767"1
8"2018-03-07 19:57:24.020724-06"300"2018-03-07 19:57:24.020835-06"2018-03-07 19:57:24.020879-06"20354"27981"26769"1
9"2018-03-07 19:57:36.317405-06"200"2018-03-07 19:57:36.317463-06"2018-03-07 19:57:36.317483-06"20354"27916"26715"1
10"2018-03-07 19:58:16.255036-06"200"2018-03-07 19:58:16.255092-06"2018-03-07 19:58:16.255112-06"20354"27832"26645"1
11"2018-03-07 19:58:28.259916-06"250"2018-03-07 19:58:28.259971-06"2018-03-07 19:58:28.259991-06"20354"27987"26775"1
12"2018-03-07 19:58:39.353052-06"250"2018-03-07 19:58:39.353161-06"2018-03-07 19:58:39.353198-06"20354"27986"26775"1
13"2018-03-07 19:58:51.645318-06"340"2018-03-07 19:58:51.645375-06"2018-03-07 19:58:51.645395-06"20354"27934"26729"1
14"2018-03-07 20:01:59.338257-06"200"2018-03-07 20:01:59.338335-06"2018-03-07 20:01:59.338356-06"20354"29978"28195"1
15"2018-03-07 20:02:48.156886-06"200"2018-03-07 20:02:48.156998-06"2018-03-07 20:02:48.157041-06"20354"28015"26801"1
16"2018-03-07 20:51:57.182416-06"200"2018-03-07 20:51:57.18247-06"2018-03-07 20:51:57.182491-06"20354"27751"26563"1
17"2018-03-07 20:53:19.728445-06"400"2018-03-07 20:53:19.728653-06"2018-03-07 20:53:19.728745-06"20354"27959"26750"1
